"","date","hits","keyword","geo","gprop","category"
"427",2015-05-30 22:00:00,2,"children games","GB","web",0
"428",2015-06-06 22:00:00,2,"children games","GB","web",0
"429",2015-06-13 22:00:00,2,"children games","GB","web",0
"430",2015-06-20 22:00:00,2,"children games","GB","web",0
"431",2015-06-27 22:00:00,2,"children games","GB","web",0
"432",2015-07-04 22:00:00,2,"children games","GB","web",0
"433",2015-07-11 22:00:00,2,"children games","GB","web",0
"434",2015-07-18 22:00:00,2,"children games","GB","web",0
"435",2015-07-25 22:00:00,2,"children games","GB","web",0
"436",2015-08-01 22:00:00,1,"children games","GB","web",0
"437",2015-08-08 22:00:00,1,"children games","GB","web",0
"438",2015-08-15 22:00:00,1,"children games","GB","web",0
"439",2015-08-22 22:00:00,1,"children games","GB","web",0
"440",2015-08-29 22:00:00,1,"children games","GB","web",0
"441",2015-09-05 22:00:00,2,"children games","GB","web",0
"442",2015-09-12 22:00:00,2,"children games","GB","web",0
"443",2015-09-19 22:00:00,3,"children games","GB","web",0
"444",2015-09-26 22:00:00,2,"children games","GB","web",0
"445",2015-10-03 22:00:00,3,"children games","GB","web",0
"446",2015-10-10 22:00:00,3,"children games","GB","web",0
"447",2015-10-17 22:00:00,2,"children games","GB","web",0
"448",2015-10-24 22:00:00,3,"children games","GB","web",0
"449",2015-10-31 23:00:00,3,"children games","GB","web",0
"450",2015-11-07 23:00:00,4,"children games","GB","web",0
"451",2015-11-14 23:00:00,3,"children games","GB","web",0
"452",2015-11-21 23:00:00,3,"children games","GB","web",0
"453",2015-11-28 23:00:00,2,"children games","GB","web",0
"454",2015-12-05 23:00:00,3,"children games","GB","web",0
"455",2015-12-12 23:00:00,3,"children games","GB","web",0
"456",2015-12-19 23:00:00,2,"children games","GB","web",0
"457",2015-12-26 23:00:00,2,"children games","GB","web",0
"458",2016-01-02 23:00:00,2,"children games","GB","web",0
"459",2016-01-09 23:00:00,2,"children games","GB","web",0
"460",2016-01-16 23:00:00,2,"children games","GB","web",0
"461",2016-01-23 23:00:00,2,"children games","GB","web",0
"462",2016-01-30 23:00:00,2,"children games","GB","web",0
"463",2016-02-06 23:00:00,2,"children games","GB","web",0
"464",2016-02-13 23:00:00,2,"children games","GB","web",0
"465",2016-02-20 23:00:00,2,"children games","GB","web",0
"466",2016-02-27 23:00:00,2,"children games","GB","web",0
"467",2016-03-05 23:00:00,2,"children games","GB","web",0
"468",2016-03-12 23:00:00,2,"children games","GB","web",0
"469",2016-03-19 23:00:00,2,"children games","GB","web",0
"470",2016-03-26 23:00:00,2,"children games","GB","web",0
"471",2016-04-02 22:00:00,1,"children games","GB","web",0
"472",2016-04-09 22:00:00,2,"children games","GB","web",0
"473",2016-04-16 22:00:00,2,"children games","GB","web",0
"474",2016-04-23 22:00:00,2,"children games","GB","web",0
"475",2016-04-30 22:00:00,2,"children games","GB","web",0
"476",2016-05-07 22:00:00,2,"children games","GB","web",0
"477",2016-05-14 22:00:00,2,"children games","GB","web",0
"478",2016-05-21 22:00:00,2,"children games","GB","web",0
